"Story","Title","Result","Date","Stability","Duration (s)"
"Validar compras de mercado con peso fijo y peso variable.","Compra pedido mercado peso fijo","SUCCESS","2019-08-15T15:48:53.264-05:00[America/Bogota]","0.0","0.19"
"Validar compras de mercado con peso fijo y peso variable.","Compra pedido mercado peso fijo","SUCCESS","2019-08-23T10:44:33.054-05:00[America/Bogota]","0.0","61.64"
